	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera
G69212	49.84523	3.3737199999999996	7.42928	0.49028999999999995	0.24311	14.41223	8.42278	0.38727	0.14257	0.07263	0.0	9.05152	0.01575	0.0	0.28739000000000003	0.27878000000000003	0.0681	0.0	2.10045	0.21350999999999998	0.21378000000000003	0.08269	1.18125	0.0	0.0	0.0	0.0	0.0	0.13357	0.14164000000000002	0.0	0.03336	0.00183	0.33753	0.0	0.0	0.0	0.0	0.0229	0.0
G69211	36.60261	12.2476	1.19984	0.23419	0.4958	13.217189999999999	9.67688	0.16014	0.47297	0.011859999999999999	0.0	18.35502	0.01345	0.0	0.0	0.0007	0.00713	0.0	1.3691200000000001	0.30434	0.15519000000000002	0.01505	1.47421	0.0	0.0	0.0	0.0	0.03281	0.24135	0.11306	0.0	0.007509999999999999	0.0	0.12629	0.0	0.0	0.02975	0.0	0.0	0.0
G80421	14.129589999999999	18.967589999999998	3.08478	1.7522900000000001	0.12145	12.02334	13.53855	1.2629299999999999	0.01083	0.4159	0.78495	2.42787	0.13304000000000002	0.0	2.86637	1.6732599999999997	0.0429	0.14852	0.42553	0.69733	0.17586	1.19126	3.76071	0.0	0.0	0.0	0.00047000000000000004	0.0	0.17019	0.0	0.0	0.19443	0.0070799999999999995	0.12055	11.1786	1.13355	0.0	0.0	0.0	0.0
G80364	1.16708	50.032070000000004	0.13685	0.09764	0.07139	0.15237	0.41381	1.63958	0.23046999999999998	0.00108	0.0	0.035210000000000005	0.00299	26.329420000000002	0.0	0.016	0.0	9.664860000000001	0.00029	0.33908	0.20834	0.0	0.50184	0.0	0.0	0.19314	0.18487	0.03463	0.0	0.15686	0.0015199999999999999	0.0	0.0	0.0	7.7373	0.039810000000000005	0.02937	0.0	0.0	0.0
G69203	1.6540700000000002	15.617410000000001	0.052160000000000005	0.01461	0.06601	3.31362	1.6275	0.27268000000000003	0.0	0.01601	0.0	0.70191	1.03813	1.42024	0.00044	0.11825999999999999	0.013219999999999999	0.66714	0.05847	1.49511	0.23820999999999998	0.1701	7.0753	0.00016	0.0	0.0	0.92779	0.00196	0.00519	21.00258	0.13924	0.019280000000000002	0.00625	0.0	38.927009999999996	1.17289	0.0	0.0	0.0	0.0
G78595	11.3485	1.37744	0.2121	0.06916	0.0	0.9215399999999999	0.38233	0.10232000000000001	0.53194	1.87189	34.87743	0.9286700000000001	2.8686599999999998	0.0	0.18666	0.028339999999999997	0.0424	1.58095	0.31873	10.81379	0.0	0.07371	0.0	1.1517700000000002	28.83969	0.0	0.0	0.0	0.07939	0.0	0.90538	0.32939	0.0	0.0299	0.0	0.0	0.08095	0.0	0.0	0.0
G78514	0.29148	3.08075	8.81161	23.89387	0.0	4.8236300000000005	0.0	0.0	1.35066	0.021759999999999998	0.31809	0.02242	31.57429	0.0	0.0	0.0	0.03611	0.0	1.26989	0.0	1.8087	0.0	0.0	0.0	0.0	0.0	0.0	0.19702	0.0	0.4267	0.0	0.0	0.0	0.0	0.0	0.82014	13.987210000000001	3.38786	0.0	0.0
G78508	63.10341999999999	6.61729	0.57184	6.2954099999999995	0.009040000000000001	0.7218399999999999	1.4409100000000001	0.21741	0.13096	0.8142699999999999	0.0	0.06878	9.878169999999999	0.0208	0.02164	0.0	0.09302	1.16519	0.43495	0.0	0.0	0.0	0.0	0.8415100000000001	0.0	0.0	0.26591	0.0	0.00935	0.0	1.4943	4.35201	0.0	0.35791999999999996	0.0	0.0	0.48451000000000005	0.22286	0.0	0.0
G80518	20.32357	1.27226	1.19563	0.06265	0.0017399999999999998	2.85348	1.14568	0.56813	0.01872	5.1747	0.0	0.15079	0.30566	0.0	0.020309999999999998	17.15377	0.09153	16.07183	0.25103000000000003	23.97324	0.15763	0.08444	0.0	3.11313	0.0	0.0	0.0	0.0	0.10142000000000001	0.0	2.91195	0.59608	0.0	0.06027999999999999	0.0	0.0	0.0	0.0	0.0	0.0
G80555	44.49841	0.71157	3.8907300000000005	0.13168	0.05652000000000001	0.014209999999999999	0.04922	0.0	0.10078	0.0	19.27486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30291999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.9273	0.0	0.0	0.0
G78859	65.34164	3.78614	0.79811	0.33137	0.41518999999999995	1.92113	0.08363999999999999	0.042	0.16105	0.00719	0.04883	0.25248000000000004	1.51688	0.06934	0.27608	8.34233	0.48176	0.0	0.4475	0.6164	0.08422	0.0	0.9049200000000001	4.68768	1.76616	0.0	0.0	0.0	0.046360000000000005	0.0	0.0	0.17820999999999998	6.2785	0.01726	0.0	0.7270800000000001	0.0	0.0116	0.0	0.0
