	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Podoviridae_noname	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus
G69212	0.0	1.18125	0.05111	0.0	0.0	0.0	0.0	0.0	0.14164000000000002	0.0	0.24311	0.01575	0.21350999999999998	0.28739000000000003	14.41223	0.0	0.0	9.05152	0.07263	0.03336	0.27878000000000003	0.0	2.10045	0.0	0.0	0.0	0.49028999999999995	0.0229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69211	0.0	1.47421	0.0	0.0	0.0	0.0	0.0	0.0	0.11306	0.0	0.4958	0.01345	0.30434	0.0	13.217189999999999	0.0	0.0	18.35502	0.011859999999999999	0.007509999999999999	0.0007	0.0	1.3691200000000001	0.0	0.0	0.0	0.23419	0.0	0.0	0.02975	0.03281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80421	0.0	3.76071	0.0	0.0	0.78495	0.0	0.00047000000000000004	0.0	0.0	0.0	0.12145	0.13304000000000002	0.69733	2.86637	12.02334	0.0	0.0	2.42787	0.4159	0.19443	1.6732599999999997	0.0	0.42553	0.0	0.0	0.0	1.7522900000000001	0.0	0.0	0.0	0.0	0.0	0.14852	0.0	0.0	0.0	11.1786	0.0	0.0	0.00413
G80364	0.0	0.50184	0.0	0.0	0.0	0.0	0.18487	0.0	0.15686	26.329420000000002	0.07139	0.00299	0.33908	0.0	0.15237	0.0	0.0	0.035210000000000005	0.00108	0.0	0.016	0.0	0.00029	0.0	0.0015199999999999999	0.0	0.09764	0.0	0.0	0.02937	0.03463	0.0	9.664860000000001	0.0	0.0	0.19314	7.7373	0.0	0.0	0.0
G69203	0.0	7.0753	0.28753	0.0324	0.0	0.0	0.92779	0.0	21.00258	1.42024	0.06601	1.03813	1.49511	0.00044	3.31362	0.0	0.0	0.70191	0.01601	0.019280000000000002	0.11825999999999999	0.00016	0.05847	0.0	0.13924	0.0	0.01461	0.0	0.0	0.0	0.00196	0.0	0.66714	0.0	0.0	0.0	38.927009999999996	0.0	0.0	0.0
G78595	0.0	0.0	0.0	0.0	34.87743	0.0	0.0	28.83969	0.0	0.0	0.0	2.8686599999999998	10.81379	0.18666	0.9215399999999999	0.0	0.0	0.9286700000000001	1.87189	0.32939	0.028339999999999997	1.1517700000000002	0.31873	0.0	0.90538	0.0	0.06916	0.0	0.0	0.08095	0.0	0.0	1.58095	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78514	0.0	0.0	0.0	0.0	0.31809	0.0	0.0	0.0	0.4267	0.0	0.0	31.57429	0.0	0.0	4.8236300000000005	0.0	0.0	0.02242	0.021759999999999998	0.0	0.0	0.0	1.26989	0.0	0.0	0.0	23.89387	0.0	0.0	13.987210000000001	0.19702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78508	0.0	0.0	0.0	0.0	0.0	0.0	0.26591	0.0	0.0	0.0208	0.009040000000000001	9.878169999999999	0.0	0.02164	0.7218399999999999	0.0	0.0	0.06878	0.8142699999999999	4.35201	0.0	0.8415100000000001	0.43495	0.0	1.4943	0.0	6.2954099999999995	0.0	0.0	0.48451000000000005	0.0	0.0	1.16519	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80518	0.0	0.0	0.0	0.9727899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0017399999999999998	0.30566	23.97324	0.020309999999999998	2.85348	0.35634	0.16221	0.15079	5.1747	0.59608	17.15377	3.11313	0.25103000000000003	0.0	2.91195	0.0	0.06265	0.0	0.0	0.0	0.0	0.0	16.07183	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80555	0.0	0.0	0.0	0.0	19.27486	0.0	0.0	0.0	0.0	0.0	0.05652000000000001	0.0	0.0	0.0	0.014209999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01935	0.0	0.0	0.0	0.13168	0.0	0.0	30.9273	0.30291999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78859	0.0	0.9049200000000001	0.0	0.0	0.04883	0.0	0.0	1.76616	0.0	0.06934	0.41518999999999995	1.51688	0.6164	0.27608	1.92113	0.0	0.0	0.25248000000000004	0.00719	0.17820999999999998	8.34233	4.68768	0.4475	0.0	0.0	0.0	0.33137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
