	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Inovirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname	label
G69212	0.0	0.0	0.0	0.0	0.38727	0.028310000000000002	0.0	0.05111	0.0	0.0	0.0	0.0	0.0	0.13357	0.28739000000000003	0.0	0.08269	9.05152	0.03336	0.21378000000000003	0.33753	0.0	0.0	0.0	0.0	0.0	0.0229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G69211	0.0	0.0	0.0	0.0	0.16014	0.23392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24135	0.0	0.0	0.01505	18.35502	0.007509999999999999	0.15519000000000002	0.12629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80421	0.0	0.0	0.0	0.0	1.2629299999999999	1.25385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17019	2.86637	0.0	1.19126	2.42787	0.19443	0.17586	0.12055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80364	0.0	0.0	0.0	0.0	1.63958	0.0	0.0	0.0	0.0	0.0	0.0	0.00373	0.0	0.0	0.0	0.0	0.0	0.035210000000000005	0.0	0.20834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G69203	0.0	0.0	0.0	0.0	0.27268000000000003	0.0	0.0	0.28753	0.0	0.0324	0.0	0.0	0.0	0.00519	0.00044	0.0	0.1701	0.70191	0.019280000000000002	0.23820999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78595	0.0	0.0	0.0	0.0	0.10232000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07939	0.18666	0.0	0.07371	0.9286700000000001	0.32939	0.0	0.0299	0.02555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38786	0.0	0.0	0.0	0.0	0.02242	0.0	1.8087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006229999999999999	3.16482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78508	0.0	0.0	0.0	0.0	0.21741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22286	0.00935	0.02164	0.0	0.0	0.06878	4.35201	0.0	0.35791999999999996	0.015330000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.35136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80518	0.0	0.0	0.0	0.0	0.56813	0.0	0.0	0.0	0.0	0.9727899999999999	0.0	0.0	0.0	0.10142000000000001	0.020309999999999998	0.16221	0.08444	0.15079	0.59608	0.15763	0.06027999999999999	0.09487999999999999	0.0	0.0	0.0	0.007529999999999999	0.0	0.6734100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04601	0
G80555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78859	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0116	0.046360000000000005	0.27608	0.0	0.0	0.25248000000000004	0.17820999999999998	0.08422	0.01726	0.0	0.0	0.0	0.0	0.0	0.0	0.30032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G69172	0.0	0.0	0.0	0.0	0.11432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01188	0.0	0.00807	0.13704000000000002	0.14642	0.14204	0.00449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80284	0.0	0.00425	0.0	0.0	0.59459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33465	0.0	0.53061	0.0	0.18447	0.57597	0.0	0.18841	0.028189999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
